age,bmi,sex,shoulder_width,hip_width,height_ratio,waist_ratio,volume_indicator,waist_prominence,body_fat_percentage,category
18,20.78,1,0.4515,0.3969,0.906,0.3921,0.0894,-0.0027,5.0,Atleta Elite - Masculino
56,21.82,1,0.392,0.3297,0.8684,0.426,0.1061,-0.0045,10.3,Atleta Elite - Masculino
47,18.38,1,0.4292,0.3677,0.8846,0.4399,0.1222,-0.0026,7.1,Atleta Elite - Masculino
40,19.74,1,0.3815,0.348,0.9502,0.3834,0.1369,-0.0053,9.0,Atleta Elite - Masculino
62,20.16,1,0.4386,0.4003,0.9651,0.3914,0.0842,-0.0043,10.8,Atleta Elite - Masculino
50,19.55,1,0.4761,0.4326,0.8892,0.4121,0.1127,-0.0025,10.1,Atleta Elite - Masculino
48,18.28,1,0.4456,0.3771,0.9863,0.4064,0.0823,-0.0071,8.4,Atleta Elite - Masculino
58,19.36,1,0.3839,0.3264,1.0435,0.4147,0.1216,-0.0002,10.1,Atleta Elite - Masculino
54,20.19,1,0.4172,0.3726,0.9182,0.4325,0.1284,-0.0005,10.0,Atleta Elite - Masculino
54,21.72,1,0.4178,0.361,0.9493,0.3967,0.1208,-0.0059,10.7,Atleta Elite - Masculino
30,19.56,1,0.475,0.4342,0.9647,0.4427,0.1034,-0.0004,6.9,Atleta Elite - Masculino
22,20.53,1,0.4592,0.4108,0.8682,0.4005,0.0997,0.0005,8.5,Atleta Elite - Masculino
56,19.98,1,0.4506,0.4128,0.9876,0.4497,0.0834,0.002,12.8,Atleta Elite - Masculino
34,21.35,1,0.4622,0.4089,0.8663,0.3871,0.085,-0.0053,8.1,Atleta Elite - Masculino
36,18.34,1,0.4708,0.4101,0.92,0.4207,0.1318,-0.0023,6.6,Atleta Elite - Masculino
36,20.83,1,0.3911,0.336,0.8523,0.4344,0.1135,0.0023,8.9,Atleta Elite - Masculino
37,19.87,1,0.4383,0.4013,0.925,0.3883,0.0871,-0.0001,9.0,Atleta Elite - Masculino
50,19.14,1,0.3874,0.3356,1.0439,0.3957,0.1378,-0.0027,9.5,Atleta Elite - Masculino
58,20.09,1,0.4715,0.4315,0.8616,0.3952,0.0977,0.0009,10.6,Atleta Elite - Masculino
41,19.58,1,0.4153,0.3614,0.8655,0.4234,0.0966,-0.0016,7.2,Atleta Elite - Masculino
44,21.9,1,0.4485,0.3675,1.0322,0.4289,0.1122,0.0022,9.3,Atleta Elite - Masculino
35,21.29,1,0.3965,0.3368,1.0055,0.4092,0.1149,-0.0018,9.0,Atleta Elite - Masculino
64,19.92,1,0.4642,0.4181,0.9437,0.3905,0.1156,-0.0027,10.8,Atleta Elite - Masculino
18,19.66,1,0.455,0.4139,0.967,0.381,0.0845,-0.0035,8.2,Atleta Elite - Masculino
27,20.9,1,0.4754,0.4149,0.8957,0.4395,0.0948,-0.003,7.1,Atleta Elite - Masculino
49,20.69,1,0.4276,0.3848,0.9116,0.3833,0.0961,-0.0043,9.0,Atleta Elite - Masculino
61,21.27,1,0.3829,0.341,0.9741,0.4193,0.1326,-0.0045,10.3,Atleta Elite - Masculino
56,20.82,1,0.4192,0.3574,1.0308,0.3895,0.0809,-0.0007,8.3,Atleta Elite - Masculino
55,19.39,1,0.4498,0.4028,0.9419,0.4116,0.1346,-0.0014,8.1,Atleta Elite - Masculino
34,21.37,1,0.4129,0.3617,0.898,0.3981,0.1075,-0.0032,8.3,Atleta Elite - Masculino
40,18.3,1,0.3982,0.3351,1.0294,0.389,0.0891,-0.0028,5.6,Atleta Elite - Masculino
46,19.9,1,0.4145,0.3489,0.8564,0.4481,0.1161,0.0027,9.6,Atleta Elite - Masculino
22,20.19,1,0.449,0.3613,1.0099,0.4123,0.0924,-0.0018,5.0,Atleta Elite - Masculino
64,20.51,1,0.4337,0.395,0.8972,0.4158,0.0894,-0.0012,10.9,Atleta Elite - Masculino
31,21.04,1,0.4312,0.3725,0.8714,0.4124,0.1248,-0.0003,7.9,Atleta Elite - Masculino
52,19.79,1,0.4364,0.3931,0.8678,0.4078,0.0863,-0.0047,10.3,Atleta Elite - Masculino
42,20.14,1,0.4298,0.3484,0.9574,0.4423,0.1156,0.0036,10.4,Atleta Elite - Masculino
25,20.35,1,0.47,0.4102,0.8989,0.4211,0.1139,-0.0059,5.9,Atleta Elite - Masculino
23,19.99,1,0.3987,0.3326,0.8847,0.4224,0.0942,-0.0032,6.3,Atleta Elite - Masculino
20,21.59,1,0.4666,0.419,0.9016,0.4167,0.1046,-0.0005,6.4,Atleta Elite - Masculino
19,18.68,1,0.3987,0.3344,0.9351,0.419,0.1143,0.0013,6.6,Atleta Elite - Masculino
29,20.03,1,0.3954,0.3392,0.9565,0.388,0.1166,-0.002,5.7,Atleta Elite - Masculino
27,18.21,1,0.3888,0.3175,0.8505,0.4184,0.1129,0.0004,5.2,Atleta Elite - Masculino
32,18.47,1,0.4631,0.4241,0.8749,0.413,0.1047,-0.0002,5.5,Atleta Elite - Masculino
26,20.92,1,0.3848,0.3439,1.0156,0.3944,0.1028,-0.0029,7.5,Atleta Elite - Masculino
47,21.0,1,0.4708,0.3945,0.9677,0.4378,0.0912,0.002,8.9,Atleta Elite - Masculino
25,20.73,1,0.4548,0.3912,0.8964,0.4107,0.1026,-0.0078,6.6,Atleta Elite - Masculino
19,21.6,1,0.474,0.4149,0.917,0.418,0.1344,-0.0042,6.7,Atleta Elite - Masculino
32,18.56,1,0.4798,0.4271,0.9914,0.4415,0.1097,0.0018,10.3,Atleta Elite - Masculino
50,21.11,1,0.4142,0.3722,0.8721,0.3823,0.1142,-0.003,9.8,Atleta Elite - Masculino
41,21.39,1,0.4209,0.3757,0.8524,0.4223,0.1101,-0.0043,11.6,Atleta Elite - Masculino
53,20.39,1,0.4708,0.4096,0.9302,0.418,0.0951,-0.0047,9.3,Atleta Elite - Masculino
63,19.85,1,0.4393,0.3568,1.0338,0.423,0.1347,0.0014,10.9,Atleta Elite - Masculino
54,21.16,1,0.4224,0.3753,1.0369,0.4295,0.0892,0.005,12.2,Atleta Elite - Masculino
40,21.7,1,0.4637,0.3895,0.9123,0.3886,0.0942,-0.0051,8.1,Atleta Elite - Masculino
32,18.91,1,0.3805,0.3196,0.9296,0.4079,0.0833,0.0008,8.1,Atleta Elite - Masculino
28,20.15,1,0.4387,0.3527,1.0325,0.4446,0.1079,0.0031,8.3,Atleta Elite - Masculino
42,18.99,1,0.4381,0.3837,0.8526,0.4149,0.1051,-0.0025,9.4,Atleta Elite - Masculino
24,20.65,1,0.4335,0.3564,0.9099,0.4483,0.1075,0.0042,8.1,Atleta Elite - Masculino
47,19.24,1,0.3991,0.321,0.9444,0.4325,0.0926,-0.0007,9.4,Atleta Elite - Masculino
35,20.26,1,0.4281,0.368,1.0031,0.4006,0.1228,0.0043,10.9,Atleta Elite - Masculino
25,18.41,1,0.4444,0.3773,0.8551,0.4403,0.1368,-0.004,5.0,Atleta Elite - Masculino
24,18.62,1,0.4472,0.3588,0.8708,0.4261,0.0816,-0.003,6.2,Atleta Elite - Masculino
20,21.2,1,0.4789,0.4178,1.0114,0.4421,0.1134,0.003,8.1,Atleta Elite - Masculino
54,21.85,1,0.4433,0.3938,1.0196,0.3899,0.1044,-0.0056,9.6,Atleta Elite - Masculino
36,18.49,1,0.418,0.364,0.9036,0.4208,0.1053,-0.0051,5.3,Atleta Elite - Masculino
55,20.5,1,0.4775,0.4266,0.8728,0.4342,0.1018,-0.0014,10.5,Atleta Elite - Masculino
63,20.26,1,0.4542,0.4014,0.9305,0.413,0.0909,0.0049,9.0,Atleta Elite - Masculino
39,18.87,1,0.4072,0.3267,1.0329,0.4384,0.1391,-0.0038,8.5,Atleta Elite - Masculino
53,18.47,1,0.452,0.3674,0.878,0.4149,0.084,-0.002,5.2,Atleta Elite - Masculino
48,19.05,1,0.3975,0.3617,0.9338,0.4412,0.1158,0.0053,11.3,Atleta Elite - Masculino
63,19.53,1,0.4403,0.3652,0.9279,0.3833,0.09,-0.0054,11.0,Atleta Elite - Masculino
53,19.15,1,0.4464,0.4073,0.9965,0.4303,0.0978,-0.0034,12.4,Atleta Elite - Masculino
53,18.86,1,0.4755,0.3892,0.9747,0.4178,0.0897,-0.0009,10.0,Atleta Elite - Masculino
26,19.9,1,0.4235,0.3513,1.0138,0.3853,0.1237,0.0017,8.1,Atleta Elite - Masculino
61,21.2,1,0.4607,0.4218,1.008,0.4477,0.0803,-0.0001,9.9,Atleta Elite - Masculino
64,20.76,1,0.4559,0.4043,0.9774,0.3861,0.1375,-0.002,12.2,Atleta Elite - Masculino
35,21.92,1,0.3834,0.3388,0.9095,0.4143,0.0933,0.0006,9.1,Atleta Elite - Masculino
40,21.7,1,0.4322,0.3792,0.98,0.4357,0.1247,-0.0003,7.8,Atleta Elite - Masculino
61,19.46,1,0.4525,0.3655,0.9131,0.3884,0.0846,-0.0071,11.9,Atleta Elite - Masculino
46,20.16,1,0.4677,0.3976,0.9424,0.4263,0.1243,-0.0088,9.8,Atleta Elite - Masculino
30,21.96,1,0.4202,0.3604,0.9755,0.417,0.1363,0.002,7.8,Atleta Elite - Masculino
64,21.49,1,0.4532,0.3628,0.9435,0.4079,0.0855,-0.0015,8.8,Atleta Elite - Masculino
21,19.19,1,0.3845,0.3127,0.9283,0.4301,0.1153,0.0008,7.4,Atleta Elite - Masculino
54,18.5,1,0.4745,0.4062,0.9727,0.435,0.0854,0.0028,8.7,Atleta Elite - Masculino
21,18.67,1,0.4313,0.357,0.8853,0.3962,0.1366,0.0002,9.2,Atleta Elite - Masculino
20,18.88,1,0.4318,0.3764,0.955,0.4378,0.128,-0.0037,7.1,Atleta Elite - Masculino
52,19.04,1,0.4024,0.3328,0.9574,0.4331,0.1218,0.0007,10.3,Atleta Elite - Masculino
31,20.37,1,0.4277,0.3444,1.0204,0.4402,0.1074,-0.0043,6.9,Atleta Elite - Masculino
32,18.14,1,0.4173,0.3468,0.9947,0.4259,0.1131,-0.0015,5.0,Atleta Elite - Masculino
23,19.98,1,0.4371,0.3844,0.9588,0.4473,0.0866,0.0035,7.8,Atleta Elite - Masculino
50,21.46,1,0.4667,0.4131,1.0174,0.4415,0.1278,0.0031,10.9,Atleta Elite - Masculino
59,20.79,1,0.4761,0.4075,1.0258,0.3874,0.1219,-0.0034,10.2,Atleta Elite - Masculino
49,18.02,1,0.4632,0.3988,0.8513,0.4035,0.1246,-0.0016,7.0,Atleta Elite - Masculino
63,19.15,1,0.3809,0.3421,0.8757,0.4029,0.1136,-0.0036,9.9,Atleta Elite - Masculino
24,19.13,1,0.4732,0.3844,1.0374,0.4179,0.1378,0.0021,6.5,Atleta Elite - Masculino
21,20.75,1,0.4146,0.3626,0.8591,0.4011,0.1225,-0.0025,5.9,Atleta Elite - Masculino
64,21.49,1,0.3825,0.307,0.9147,0.4478,0.125,0.0019,11.4,Atleta Elite - Masculino
28,19.95,1,0.3964,0.3549,0.9887,0.4278,0.1068,-0.0051,5.1,Atleta Elite - Masculino
19,18.88,1,0.4657,0.4265,1.002,0.4341,0.0938,0.001,7.6,Atleta Elite - Masculino
18,19.77,1,0.4668,0.4135,0.9626,0.4025,0.1235,-0.0051,6.9,Atleta Elite - Masculino
44,19.89,1,0.4571,0.412,1.0022,0.4478,0.0911,0.0019,10.4,Atleta Elite - Masculino
61,20.5,1,0.4282,0.3485,0.875,0.3823,0.1353,-0.0007,11.1,Atleta Elite - Masculino
53,20.74,1,0.4126,0.3593,0.9366,0.4191,0.0935,-0.0001,8.8,Atleta Elite - Masculino
34,21.94,1,0.44,0.3674,0.989,0.3808,0.0843,-0.0059,5.5,Atleta Elite - Masculino
55,21.44,1,0.3903,0.339,0.8537,0.4435,0.1235,-0.0014,10.4,Atleta Elite - Masculino
45,19.93,1,0.4151,0.3337,0.8657,0.4292,0.1136,-0.0033,9.0,Atleta Elite - Masculino
19,19.59,1,0.3841,0.3382,1.0403,0.4484,0.0921,0.0036,8.0,Atleta Elite - Masculino
23,18.5,1,0.4735,0.4326,0.9751,0.4216,0.117,-0.0059,5.7,Atleta Elite - Masculino
64,21.13,1,0.4617,0.3944,0.9787,0.437,0.0848,0.0003,12.9,Atleta Elite - Masculino
59,20.11,1,0.4279,0.374,0.9158,0.4107,0.1235,0.0031,12.5,Atleta Elite - Masculino
62,19.88,1,0.4355,0.386,0.8957,0.3927,0.1274,-0.0037,12.8,Atleta Elite - Masculino
58,21.99,1,0.4218,0.3478,1.0181,0.4145,0.0849,-0.0059,9.8,Atleta Elite - Masculino
38,18.7,1,0.4171,0.3831,0.858,0.4309,0.1246,-0.0061,7.4,Atleta Elite - Masculino
49,21.47,1,0.4398,0.3937,0.981,0.4212,0.0818,0.0034,8.9,Atleta Elite - Masculino
29,21.97,1,0.4576,0.3883,0.9704,0.4069,0.1079,-0.0039,8.0,Atleta Elite - Masculino
31,20.53,1,0.4047,0.3661,0.9391,0.448,0.0909,0.0008,9.8,Atleta Elite - Masculino
42,20.06,1,0.4199,0.3792,0.8518,0.4264,0.0857,-0.0049,9.8,Atleta Elite - Masculino
29,20.35,1,0.3873,0.3178,0.954,0.3892,0.1382,-0.0085,7.1,Atleta Elite - Masculino
47,19.35,1,0.4053,0.3417,0.9259,0.3902,0.107,-0.002,9.3,Atleta Elite - Masculino
64,20.42,1,0.4385,0.3965,0.8912,0.4265,0.1085,0.0003,12.3,Atleta Elite - Masculino
31,18.45,1,0.4734,0.3967,0.9514,0.384,0.1119,-0.0047,5.0,Atleta Elite - Masculino
59,18.17,1,0.4322,0.3635,0.9564,0.4078,0.1088,-0.007,8.9,Atleta Elite - Masculino
62,18.5,1,0.3988,0.354,0.8812,0.39,0.1364,-0.006,11.2,Atleta Elite - Masculino
64,18.94,1,0.4418,0.3995,0.9641,0.3924,0.1216,-0.0037,12.9,Atleta Elite - Masculino
25,18.12,1,0.4627,0.4072,0.9654,0.4357,0.1351,0.0017,6.1,Atleta Elite - Masculino
19,19.39,1,0.4671,0.4175,0.9634,0.45,0.0829,0.0008,7.7,Atleta Elite - Masculino
21,20.95,1,0.4701,0.4256,0.9134,0.4255,0.1259,-0.0013,7.4,Atleta Elite - Masculino
18,21.48,1,0.4495,0.3806,0.9397,0.3884,0.1127,-0.0078,5.0,Atleta Elite - Masculino
52,18.95,1,0.4419,0.3781,0.926,0.3959,0.0844,0.0016,11.7,Atleta Elite - Masculino
19,21.45,1,0.4199,0.3651,0.9567,0.4135,0.0815,-0.0054,5.0,Atleta Elite - Masculino
40,20.43,1,0.4043,0.3685,0.8621,0.4369,0.1231,0.0022,9.8,Atleta Elite - Masculino
39,21.74,1,0.447,0.4075,0.9565,0.3936,0.09,-0.0021,10.7,Atleta Elite - Masculino
59,20.32,1,0.3922,0.3223,0.9862,0.4227,0.123,-0.003,8.8,Atleta Elite - Masculino
30,18.73,1,0.4718,0.4015,0.8674,0.3929,0.0977,-0.0053,8.0,Atleta Elite - Masculino
61,21.26,1,0.4619,0.4185,0.8956,0.383,0.118,-0.004,11.1,Atleta Elite - Masculino
27,18.85,1,0.4357,0.3619,0.9104,0.3922,0.1016,-0.0031,7.5,Atleta Elite - Masculino
53,20.93,1,0.4252,0.3701,0.8836,0.4097,0.1201,-0.0015,9.0,Atleta Elite - Masculino
51,20.95,1,0.403,0.3324,0.9776,0.4131,0.1121,-0.0036,8.7,Atleta Elite - Masculino
30,19.03,1,0.4228,0.3747,0.9885,0.4216,0.1098,-0.0037,9.1,Atleta Elite - Masculino
63,21.97,1,0.3879,0.3143,1.0288,0.3873,0.1235,-0.0089,11.4,Atleta Elite - Masculino
25,18.77,1,0.4632,0.4078,0.864,0.4057,0.1006,-0.0056,9.1,Atleta Elite - Masculino
25,20.56,1,0.4133,0.3638,1.0488,0.4416,0.1191,-0.0057,7.4,Atleta Elite - Masculino
34,20.65,1,0.3889,0.356,0.977,0.4497,0.1068,0.0036,7.1,Atleta Elite - Masculino
33,21.02,1,0.392,0.3594,0.854,0.4087,0.1054,-0.0093,7.3,Atleta Elite - Masculino
61,20.95,1,0.4588,0.4146,0.9717,0.3971,0.1203,-0.0039,10.2,Atleta Elite - Masculino
51,20.03,1,0.4181,0.3518,0.8978,0.3844,0.0871,-0.0063,8.4,Atleta Elite - Masculino
20,20.04,1,0.4719,0.4057,1.0484,0.4078,0.1068,-0.0012,9.0,Atleta Elite - Masculino
59,21.41,1,0.4474,0.3865,0.9943,0.4151,0.1038,0.0048,12.1,Atleta Elite - Masculino
24,18.57,1,0.4495,0.3783,1.0451,0.4013,0.0849,-0.0065,6.5,Atleta Elite - Masculino
42,20.56,1,0.3939,0.3576,1.0159,0.4203,0.1088,0.0014,8.1,Atleta Elite - Masculino
52,19.27,1,0.3826,0.3123,1.0426,0.4079,0.0888,-0.0042,9.5,Atleta Elite - Masculino
49,20.2,1,0.38,0.3048,0.9705,0.3885,0.1157,-0.0017,8.9,Atleta Elite - Masculino
48,19.46,1,0.4795,0.3869,0.989,0.3843,0.1268,-0.0063,9.2,Atleta Elite - Masculino
36,21.93,1,0.3978,0.3512,0.9736,0.3919,0.0845,-0.0058,9.0,Atleta Elite - Masculino
57,20.53,1,0.4327,0.3683,0.8761,0.437,0.1169,0.0028,9.7,Atleta Elite - Masculino
52,21.55,1,0.4569,0.3661,0.9332,0.4057,0.1048,-0.0009,10.5,Atleta Elite - Masculino
55,19.93,1,0.4015,0.3218,0.8982,0.3982,0.1256,-0.0028,8.9,Atleta Elite - Masculino
35,21.9,1,0.4446,0.3823,0.9032,0.3845,0.0826,-0.0084,7.2,Atleta Elite - Masculino
21,18.6,1,0.4414,0.3987,0.9285,0.4405,0.0946,0.0035,8.1,Atleta Elite - Masculino
58,21.82,1,0.473,0.3928,1.0062,0.3872,0.1195,-0.0046,9.9,Atleta Elite - Masculino
51,21.3,1,0.4251,0.3851,0.8711,0.407,0.107,-0.0013,9.3,Atleta Elite - Masculino
40,21.95,1,0.3872,0.3131,0.8524,0.4276,0.0825,-0.0001,8.0,Atleta Elite - Masculino
38,21.83,1,0.435,0.3913,0.8637,0.4071,0.1077,-0.0057,6.5,Atleta Elite - Masculino
64,19.7,1,0.4425,0.3743,0.8911,0.3858,0.1381,-0.0012,10.1,Atleta Elite - Masculino
21,18.49,1,0.4768,0.4272,0.9086,0.4342,0.1186,-0.002,5.0,Atleta Elite - Masculino
30,23.96,1,0.3928,0.3302,1.0356,0.4908,0.1449,0.0059,15.6,Atlético - Masculino
42,22.45,1,0.4074,0.3713,0.9852,0.4763,0.133,-0.0002,14.3,Atlético - Masculino
38,22.99,1,0.4555,0.3896,1.0184,0.47,0.149,0.0021,15.6,Atlético - Masculino
24,23.46,1,0.4069,0.3519,0.9956,0.4626,0.1032,0.0054,13.1,Atlético - Masculino
38,22.22,1,0.4641,0.4121,0.9584,0.5008,0.1491,0.0052,13.8,Atlético - Masculino
20,23.18,1,0.4436,0.3954,0.882,0.4708,0.1339,0.0049,13.9,Atlético - Masculino
33,22.92,1,0.3994,0.3617,0.9815,0.5068,0.1445,0.0045,15.4,Atlético - Masculino
38,22.62,1,0.4584,0.3972,0.851,0.5013,0.137,0.0036,14.2,Atlético - Masculino
29,23.52,1,0.4127,0.3375,0.9111,0.5022,0.1121,0.0048,14.8,Atlético - Masculino
54,23.75,1,0.4017,0.328,0.9826,0.4587,0.1231,0.0053,17.5,Atlético - Masculino
56,22.0,1,0.3893,0.3389,0.9462,0.4502,0.1372,0.0045,16.5,Atlético - Masculino
41,23.28,1,0.4287,0.3738,0.9704,0.4573,0.1135,0.0009,15.7,Atlético - Masculino
36,22.05,1,0.4585,0.4057,1.0077,0.4849,0.1046,0.0033,14.6,Atlético - Masculino
62,23.03,1,0.4021,0.3505,0.9971,0.4603,0.1197,-0.0007,16.6,Atlético - Masculino
62,24.0,1,0.4486,0.4122,0.9994,0.4621,0.1383,-0.002,16.7,Atlético - Masculino
43,23.48,1,0.3826,0.3072,1.0163,0.4911,0.1111,0.0001,14.6,Atlético - Masculino
34,22.55,1,0.4262,0.3655,0.937,0.5151,0.147,0.0045,13.6,Atlético - Masculino
53,23.87,1,0.4237,0.376,1.0031,0.4593,0.1048,0.0017,18.6,Atlético - Masculino
61,22.32,1,0.3869,0.3122,0.9064,0.4595,0.1451,0.0028,17.7,Atlético - Masculino
52,22.52,1,0.4229,0.3812,0.9036,0.4693,0.1472,0.0023,16.9,Atlético - Masculino
53,22.31,1,0.4147,0.3766,0.8544,0.4524,0.1038,-0.0061,16.7,Atlético - Masculino
37,23.33,1,0.4588,0.4014,0.9489,0.459,0.1529,0.0052,15.8,Atlético - Masculino
22,23.96,1,0.4772,0.4166,0.9199,0.4958,0.1119,0.0007,16.1,Atlético - Masculino
21,22.23,1,0.4781,0.3955,0.9308,0.4793,0.1053,0.0048,15.5,Atlético - Masculino
56,23.09,1,0.4285,0.3513,1.0391,0.4995,0.1326,0.0047,16.3,Atlético - Masculino
19,23.7,1,0.4091,0.3659,0.8724,0.4568,0.1517,0.0064,14.1,Atlético - Masculino
52,22.71,1,0.3965,0.3329,1.0014,0.4536,0.1472,-0.0006,14.9,Atlético - Masculino
57,23.04,1,0.4251,0.3903,1.0044,0.5114,0.1528,0.0048,18.7,Atlético - Masculino
42,22.05,1,0.4598,0.3884,0.9403,0.4566,0.1206,-0.0008,13.2,Atlético - Masculino
60,22.79,1,0.4087,0.3659,0.9655,0.5043,0.1579,0.0057,17.1,Atlético - Masculino
26,23.27,1,0.4496,0.4025,0.9134,0.4777,0.1549,-0.0004,14.2,Atlético - Masculino
20,23.71,1,0.3833,0.3234,0.9965,0.5128,0.1101,0.0137,14.7,Atlético - Masculino
54,23.64,1,0.4767,0.4053,1.0468,0.4808,0.1369,0.0035,18.3,Atlético - Masculino
30,23.34,1,0.3893,0.3128,1.0146,0.4726,0.1598,0.004,14.7,Atlético - Masculino
22,22.42,1,0.3911,0.3485,1.0476,0.5181,0.1202,0.0079,13.5,Atlético - Masculino
61,23.8,1,0.4135,0.3394,0.9924,0.4821,0.1215,0.0075,17.6,Atlético - Masculino
50,23.65,1,0.4549,0.3994,0.9742,0.4668,0.1085,0.0004,14.5,Atlético - Masculino
22,22.7,1,0.4115,0.3294,0.9863,0.5064,0.1506,0.004,15.0,Atlético - Masculino
37,22.33,1,0.4494,0.3872,0.9111,0.4659,0.1502,0.0049,14.9,Atlético - Masculino
52,22.43,1,0.4033,0.3617,0.8618,0.5034,0.1245,0.0063,16.9,Atlético - Masculino
50,23.8,1,0.418,0.3457,0.9263,0.5112,0.1,0.0048,15.4,Atlético - Masculino
36,22.26,1,0.454,0.4132,0.906,0.5184,0.1066,0.0049,15.0,Atlético - Masculino
36,23.72,1,0.4782,0.4182,0.9618,0.5181,0.1496,0.009,15.6,Atlético - Masculino
36,23.26,1,0.3897,0.323,0.8525,0.5111,0.1068,0.007,16.9,Atlético - Masculino
42,22.94,1,0.4399,0.3553,1.0254,0.5077,0.1045,0.0079,14.8,Atlético - Masculino
63,23.75,1,0.4638,0.3869,0.9358,0.4738,0.1593,0.0046,21.1,Atlético - Masculino
63,22.54,1,0.3894,0.354,0.9838,0.5099,0.1313,0.003,18.0,Atlético - Masculino
41,23.66,1,0.4711,0.4031,0.8775,0.5169,0.1015,0.0048,15.8,Atlético - Masculino
46,22.68,1,0.444,0.3912,0.8763,0.4619,0.1569,0.0063,16.8,Atlético - Masculino
29,22.47,1,0.4544,0.3911,0.9768,0.4841,0.1391,0.0041,15.0,Atlético - Masculino
42,22.14,1,0.4039,0.3459,0.9401,0.4502,0.1024,0.0034,15.9,Atlético - Masculino
52,22.95,1,0.4317,0.3456,0.8515,0.4637,0.1366,-0.0006,15.0,Atlético - Masculino
60,22.44,1,0.4019,0.3406,0.8589,0.5091,0.1171,-0.0014,15.1,Atlético - Masculino
41,22.56,1,0.4307,0.3898,0.9487,0.4561,0.137,0.0005,14.8,Atlético - Masculino
36,23.4,1,0.453,0.4103,0.9842,0.4815,0.1558,0.0024,15.0,Atlético - Masculino
